LAKE_ID,SAMPLE_ID,SAMPLE_NAME,LOCATION_ID,DATA_PROVIDER,SAMPLE_DATE,TIME,START_DEPTH,END_DEPTH,Characteristic.Name,Result.Value,Result.Unit,Result.Sample.Fraction,VALIDATOR_QUALIFIERS,INTERPRETED_QUALIFIERS,Depth,WATER,Waterbody_Classification,PWS,PWLID,Beaches,LocationName,County,Y_Coordinate,X_Coordinate,Type,DEC.Region,INFO_TYPE
1501ROC0985,44637,08LHB005,1501ROC0985_DH,LCI,6/4/2008,12:00 PM,0,2,PHOSPHORUS,0.0107,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44637,08LHB005,1501ROC0985_DH,LCI,6/4/2008,12:00 PM,0,2,PHOSPHORUS,0.0549,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44638,08LHB006,1501ROC0985_DH,LCI,6/4/2008,12:00 PM,8,,PHOSPHORUS,0.222,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
1501ROC0985,44638,08LHB006,1501ROC0985_DH,LCI,6/4/2008,12:00 PM,8,,PHOSPHORUS,0.189,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
1501ROC0985,44639,08LHB105,1501ROC0985_DH,LCI,7/10/2008,12:00 PM,0,2,PHOSPHORUS,0.0063,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44639,08LHB105,1501ROC0985_DH,LCI,7/10/2008,12:00 PM,0,2,PHOSPHORUS,0.0302,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44640,08LHB106,1501ROC0985_DH,LCI,7/10/2008,12:00 PM,8,,PHOSPHORUS,0.373,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
1501ROC0985,44640,08LHB106,1501ROC0985_DH,LCI,7/10/2008,12:00 PM,8,,PHOSPHORUS,0.421,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
1501ROC0985,44641,08LHB205,1501ROC0985_DH,LCI,8/6/2008,12:00 PM,0,2,PHOSPHORUS,0.0302,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44641,08LHB205,1501ROC0985_DH,LCI,8/6/2008,12:00 PM,0,2,PHOSPHORUS,0.0047,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44642,08LHB206,1501ROC0985_DH,LCI,8/6/2008,12:00 PM,9,0,PHOSPHORUS,0.603,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
1501ROC0985,44642,08LHB206,1501ROC0985_DH,LCI,8/6/2008,12:00 PM,9,0,PHOSPHORUS,0.566,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
1501ROC0985,44643,08LHB411,1501ROC0985_DH,LCI,9/9/2008,12:00 PM,0,2,PHOSPHORUS,0.0313,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44643,08LHB411,1501ROC0985_DH,LCI,9/9/2008,12:00 PM,0,2,PHOSPHORUS,0.0062,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,OW
1501ROC0985,44644,08LHB412,1501ROC0985_DH,LCI,9/9/2008,12:00 PM,9,,PHOSPHORUS,0.826,mg/l,T,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
1501ROC0985,44644,08LHB412,1501ROC0985_DH,LCI,9/9/2008,12:00 PM,9,,PHOSPHORUS,0.756,mg/l,D,NA,,NA,Rockland Lake,B,No,1501-0021,No,ROCKLAND LAKE DEEP HOLE,Rockland,41.139,-73.923,Deep Hole,3,BS
