"LAKE_ID","SAMPLE_DATE","DATA_PROVIDER","DP","OW","BS","SB","SD"
"0501LOW0021",2018-06-12,"LCI",1,1,0,0,1
"0501LOW0021",2018-07-11,"LCI",1,1,0,0,1
"0501LOW0021",2018-08-07,"LCI",1,1,0,0,1
"0501LOW0021",2018-09-05,"LCI",1,0,0,0,1
"0501MIL0016",2018-06-12,"LCI",1,1,0,0,1
"0501MIL0016",2018-07-11,"LCI",1,1,0,0,0
"0501MIL0016",2018-08-07,"LCI",1,1,0,0,1
"0501MIL0016",2018-09-05,"LCI",1,0,0,0,1
"0501UWB5107",2018-06-12,"LCI",1,1,0,0,1
"0501UWB5107",2018-07-11,"LCI",1,1,0,0,1
"0501UWB5107",2018-08-07,"LCI",1,1,0,0,1
"0501UWB5107",2018-09-05,"LCI",1,0,0,0,1
"0502BIR5140",2018-06-12,"LCI",1,1,0,0,1
"0502BIR5140",2018-07-10,"LCI",1,1,0,0,1
"0502BIR5140",2018-08-06,"LCI",1,1,0,0,1
"0502BIR5140",2018-09-04,"LCI",1,0,0,0,1
"0502SAN0043",2018-06-13,"LCI",1,1,1,0,1
"0502SAN0043",2018-07-10,"LCI",1,1,1,0,1
"0502SAN0043",2018-08-06,"LCI",1,1,1,0,1
"0502SAN0043",2018-09-04,"LCI",1,0,0,0,1
"0502UWB5192",2018-06-13,"LCI",1,1,0,0,1
"0502UWB5192",2018-07-10,"LCI",1,1,0,0,1
"0502UWB5192",2018-08-06,"LCI",1,1,0,0,1
"0502UWB5192",2018-09-04,"LCI",1,0,0,0,1
"0503ERW0023B",2018-06-13,"LCI",1,1,1,0,1
"0503ERW0023B",2018-07-10,"LCI",1,1,1,0,1
"0503ERW0023B",2018-08-06,"LCI",1,1,1,0,1
"0503ERW0023B",2018-09-04,"LCI",1,0,0,0,1
"0503UWB5183",2018-06-13,"LCI",1,1,0,0,1
"0503UWB5183",2018-07-11,"LCI",1,1,0,0,1
"0503UWB5183",2018-08-07,"LCI",1,1,0,0,1
"0503UWB5183",2018-09-05,"LCI",1,0,0,0,1
"0601ARN0362",2018-07-30,"LCI",1,1,1,0,1
"0601GIL0287",2018-07-30,"LCI",1,1,1,0,1
"0601GOE0378",2018-07-30,"LCI",1,1,1,0,1
"0602GLO0040",2018-09-06,"LCI",1,1,0,0,1
"0602ROU0082",2018-09-06,"LCI",1,1,0,0,1
"0602SHA5677",2018-09-17,"LCI",1,1,0,0,1
"0602SPR0050A",2018-09-17,"LCI",1,1,0,0,1
"0602WHA5659",2018-09-06,"LCI",1,1,0,0,1
"0603GREXXX1",2018-09-05,"LCI",1,1,0,0,1
"0801BUG0789",2018-06-27,"LCI",1,1,1,0,1
"0801BUG0789",2018-07-24,"LCI",1,1,1,0,1
"0801BUG0789",2018-08-22,"LCI",1,1,1,0,1
"0801BUG0789",2018-09-17,"LCI",1,1,0,0,1
"0801EIG0790",2018-06-27,"LCI",1,1,1,0,1
"0801EIG0790",2018-07-24,"LCI",1,1,1,0,1
"0801EIG0790",2018-08-22,"LCI",1,1,1,0,1
"0801EIG0790",2018-09-17,"LCI",1,1,0,0,1
"0801LON0922",2018-06-26,"LCI",1,1,1,0,1
"0801LON0922",2018-07-23,"LCI",1,1,1,0,1
"0801LON0922",2018-08-21,"LCI",1,1,1,0,1
"0801LON0922",2018-09-18,"LCI",1,1,0,0,1
"0801WHE5670",2018-06-26,"LCI",1,1,0,0,1
"0801WHE5670",2018-07-23,"LCI",1,1,0,0,1
"0801WHE5670",2018-08-21,"LCI",1,1,0,0,1
"0801WHE5670",2018-09-18,"LCI",1,1,0,0,1
"0801WOO0982",2018-06-26,"LCI",1,1,1,0,1
"0801WOO0982",2018-07-23,"LCI",1,1,1,0,1
"0801WOO0982",2018-08-21,"LCI",1,1,1,0,1
"0801WOO0982",2018-09-18,"LCI",1,1,0,0,1
"0902BAR0262",2018-08-29,"LCI",1,1,0,0,1
"0903LBR0316",2018-06-27,"LCI",1,1,1,0,1
"0903LBR0316",2018-07-24,"LCI",1,1,1,0,1
"0903LBR0316",2018-08-22,"LCI",1,1,1,0,1
"0903LBR0316",2018-09-17,"LCI",1,1,0,0,1
"1003COL0106",2018-08-29,"LCI",1,1,0,0,1
"1003FRA5095",2018-08-28,"LCI",1,1,0,0,1
"1003KUS0055",2018-08-29,"LCI",1,1,0,0,1
"1003LSA0104",2018-08-28,"LCI",1,1,0,0,1
"1003MOO0083",2018-08-28,"LCI",1,1,0,0,1
"1004MIL0318",2018-08-28,"LCI",1,1,0,0,1
"1004RUS0316",2018-08-28,"LCI",1,1,0,0,1
"1005BAR0338",2018-08-29,"LCI",1,1,0,0,1
"1005PEN0351A",2018-08-29,"LCI",1,1,0,0,1
"1006CRA0380",2018-08-29,"LCI",1,1,0,0,1
"1006JAB0394",2018-08-29,"LCI",1,1,0,0,1
"1101TRO0459",2018-06-18,"LCI",1,1,1,0,1
"1101TRO0459",2018-07-16,"LCI",0,0,1,0,0
"1101TRO0459",2018-07-17,"LCI",1,1,0,0,1
"1101TRO0459",2018-08-15,"LCI",1,1,1,0,0
"1101TRO0459",2018-09-12,"LCI",0,1,1,0,1
"1301CHA0341A",2018-06-04,"LCI",1,1,1,0,1
"1301CHA0341A",2018-07-11,"LCI",1,1,0,0,1
"1301CHA0341A",2018-08-14,"LCI",1,1,1,0,1
"1301CHA0341A",2018-09-04,"LCI",1,1,0,0,1
"1301CHO0437",2018-06-20,"LCI",1,1,1,0,1
"1301CHO0437",2018-07-16,"LCI",1,1,1,0,1
"1301CHO0437",2018-08-13,"LCI",1,1,1,0,1
"1301CHO0437",2018-09-11,"LCI",1,1,0,0,1
"1301COX6780",2018-06-18,"LCI",1,1,1,0,1
"1301COX6780",2018-07-16,"LCI",1,1,1,0,0
"1301COX6780",2018-08-13,"LCI",1,1,1,0,1
"1301COX6780",2018-09-11,"LCI",1,1,1,0,1
"1301MORXXX1",2018-07-26,"LCI",1,1,0,1,1
"1301POC0030",2018-06-21,"LCI",1,1,0,0,1
"1301POC0030",2018-07-17,"LCI",1,1,1,0,1
"1301POC0030",2018-08-14,"LCI",1,1,0,0,1
"1301POC0030",2018-09-12,"LCI",1,1,0,0,1
"1301PUD5194",2018-06-19,"LCI",1,1,0,0,1
"1301PUD5194",2018-07-17,"LCI",1,1,0,0,1
"1301PUD5194",2018-08-14,"LCI",1,1,0,0,1
"1301PUD5194",2018-09-12,"LCI",1,1,0,0,1
"1301REN0336",2018-06-27,"LCI",1,1,1,0,1
"1301REN0336",2018-07-17,"LCI",1,1,1,0,1
"1301REN0336",2018-08-15,"LCI",1,1,1,0,1
"1301REN0336",2018-09-12,"LCI",1,1,1,0,1
"1301THE1027",2018-07-26,"LCI",1,1,0,0,1
"1301THE1034",2018-07-26,"LCI",1,1,0,0,1
"1301UWB0420B",2018-06-19,"LCI",1,1,0,0,1
"1301UWB0420B",2018-07-18,"LCI",1,1,0,0,1
"1301UWB0420B",2018-08-15,"LCI",1,1,0,0,1
"1301UWB0420B",2018-09-13,"LCI",1,1,0,0,1
"1301UWB1031",2018-07-26,"LCI",1,1,0,1,1
"1302CAS0059B",2018-06-21,"LCI",1,1,0,0,1
"1302CAS0059B",2018-07-17,"LCI",1,1,0,0,1
"1302CAS0059B",2018-08-14,"LCI",1,1,0,0,1
"1302CAS0059B",2018-09-12,"LCI",1,1,0,0,1
"1303GOSXXX1",2018-06-20,"LCI",1,1,1,0,1
"1303GOSXXX1",2018-07-16,"LCI",1,1,1,0,1
"1303GOSXXX1",2018-08-13,"LCI",1,1,1,0,1
"1303GOSXXX1",2018-09-11,"LCI",1,1,1,0,1
"1304BEA0345A",2018-06-21,"LCI",1,1,0,0,1
"1304BEA0345A",2018-07-17,"LCI",1,1,1,0,1
"1304BEA0345A",2018-08-14,"LCI",1,1,1,0,1
"1304BEA0345A",2018-09-12,"LCI",1,1,1,0,1
"1305WAP0365",2018-06-20,"LCI",1,1,0,0,1
"1305WAP0365",2018-07-18,"LCI",1,1,1,0,1
"1305WAP0365",2018-08-15,"LCI",1,1,0,0,1
"1305WAP0365",2018-09-13,"LCI",1,1,0,0,1
"1306BIN0735",2018-06-20,"LCI",1,1,0,0,1
"1306BIN0735",2018-07-16,"LCI",1,1,0,0,1
"1306BIN0735",2018-08-13,"LCI",1,1,0,0,1
"1306BIN0735",2018-09-11,"LCI",1,1,0,0,1
"1306HIG0492",2018-06-04,"LCI",1,1,1,0,1
"1306HIG0492",2018-07-11,"LCI",1,1,0,0,1
"1306HIG0492",2018-08-08,"LCI",1,1,1,0,0
"1306HIG0492",2018-09-04,"LCI",1,1,0,0,0
"1306HIG0493",2018-09-04,"LCI",0,0,0,0,1
"1306KINXXX1",2018-08-08,"LCI",1,1,0,0,1
"1306MIL0515",2018-06-20,"LCI",1,1,0,0,1
"1306MIL0515",2018-07-16,"LCI",1,1,0,0,1
"1306MIL0515",2018-08-13,"LCI",1,1,0,0,1
"1306MIL0515",2018-09-11,"LCI",1,1,0,0,1
"1306MON0598",2018-06-04,"LCI",1,1,1,0,1
"1306MON0598",2018-07-11,"LCI",1,1,0,0,1
"1306MON0598",2018-08-08,"LCI",1,1,1,0,1
"1306MON0598",2018-09-04,"LCI",1,1,0,0,1
"1306SHA0491",2018-06-04,"LCI",1,1,1,0,1
"1306SHA0491",2018-07-11,"LCI",1,1,0,0,1
"1306SHA0491",2018-08-08,"LCI",1,1,1,0,1
"1306SHA0491",2018-09-04,"LCI",1,1,0,0,1
"1306UWB6107",2018-06-20,"LCI",1,1,0,0,1
"1306UWB6107",2018-07-16,"LCI",1,1,0,0,1
"1306UWB6107",2018-08-13,"LCI",1,1,0,0,1
"1306UWB6107",2018-09-11,"LCI",1,1,0,0,1
"1308WILXXX1A",2018-06-19,"LCI",1,1,0,0,1
"1308WILXXX1A",2018-07-18,"LCI",1,1,0,0,1
"1308WILXXX1A",2018-08-15,"LCI",1,1,0,0,1
"1308WILXXX1A",2018-09-13,"LCI",1,1,0,0,1
"1309BAS0950A",2018-06-27,"LCI",1,1,0,0,1
"1309BAS0950A",2018-07-17,"LCI",1,1,0,0,1
"1309BAS0950A",2018-08-15,"LCI",1,1,0,0,1
"1309BAS0950A",2018-09-12,"LCI",1,1,0,0,1
"1309HOL0913",2018-06-18,"LCI",1,1,1,0,1
"1309HOL0913",2018-07-16,"LCI",1,1,1,0,1
"1309HOL0913",2018-08-13,"LCI",1,1,1,0,1
"1309HOL0913",2018-09-11,"LCI",1,1,1,0,1
"1310KIN0024",2018-06-27,"LCI",1,1,1,0,1
"1310KIN0024",2018-07-17,"LCI",1,1,1,0,1
"1310KIN0024",2018-08-13,"LCI",1,1,1,0,1
"1310KIN0024",2018-09-11,"LCI",1,1,1,0,1
"1310SUT0052",2018-06-19,"LCI",1,1,0,0,1
"1310SUT0052",2018-07-18,"LCI",1,1,0,0,1
"1310SUT0052",2018-08-15,"LCI",1,1,0,0,1
"1310SUT0052",2018-09-13,"LCI",1,1,0,0,1
"1701AVO0961",2018-08-06,"LCI",1,1,0,0,1
"1701DON0565A",2018-08-07,"LCI",1,1,0,0,1
"1701FRE0753",2018-09-11,"LCI",1,1,0,0,1
"1701GRE0885",2018-08-06,"LCI",1,1,0,0,1
"1701GRE0885",2018-08-07,"LCI",0,0,1,0,0
"1701LAU0496",2018-08-07,"LCI",1,1,1,0,1
"1701LOW0855",2018-08-08,"LCI",1,1,0,0,1
"1701MAI0907",2018-08-08,"LCI",1,1,0,0,1
"1701MAR0495",2018-08-07,"LCI",1,1,0,0,1
"1701PEC0555",2018-08-07,"LCI",1,1,0,0,1
"1701PECXXX1",2018-08-07,"LCI",1,1,0,0,1
"1701REE0763",2018-09-11,"LCI",1,1,0,0,1
"1702ALLXXX1",2018-07-25,"LCI",1,1,0,0,1
"1702BRY1106",2018-07-31,"LCI",1,1,1,0,1
"1702CLO1074",2018-07-25,"LCI",1,1,0,1,1
"1702GLE1070",2018-08-01,"LCI",1,1,1,0,1
"1702IND5821",2018-08-01,"LCI",1,1,0,0,1
"1702KIS0076",2018-07-24,"LCI",1,1,0,1,1
"1702OAK0107",2018-07-24,"LCI",1,1,0,0,1
"1702OHR1069B",2018-07-25,"LCI",1,1,1,0,1
"1702PAI1082",2018-07-31,"LCI",1,1,0,0,1
"1702PEL1072",2018-08-01,"LCI",1,1,0,0,1
"1702SHE1087",2018-07-31,"LCI",1,1,0,0,1
"1702UWB0105",2018-07-24,"LCI",1,1,0,1,1
"1702UWB0340A",2018-08-08,"LCI",1,1,0,0,1
"1702UWB5331",2018-07-24,"LCI",1,1,0,1,1
"1702WIL1063A",2018-07-25,"LCI",1,1,0,0,1
