"LAKE_ID","PWLID","Waterbody_Classification","Y_Coordinate","X_Coordinate"
"1702IND5821"," ","B","40.838355","-73.893595000000005"
"1302UWB0044H"," ","B","41.293899500000002","-73.6631012"
"1301BUR0386C","1301-0025","B","42.594699900000002","-73.561401399999895"
"0906GRA0051"," ","C","44.340000199999899","-75.715202300000001"
"1501UWB1006"," ","B","41.2106017999999","-74.200500500000004"
"1501UWB1006",NA,NA,"41.2106017999999","-74.200500500000004"
"0403AND0164"," ","C","42.163124","-77.791815"
"0703PEN0016"," ","C(T)","43.2854004","-76.267700199999894"
"1702IND5821"," ","B","40.838298799999897","-73.894096399999896"
"1701BLA0788"," ","C","40.951301600000001","-72.296302800000007"
"1701LIL0779"," ","C","40.938301099999897","-72.212898300000006"
"1301BUC0303"," ","C","42.663501699999898","-73.807098400000001"
"0102LA 5022"," ","C","43.00438333

0003","-78.78108



3"
"1201UWB0503"," ","A","42.843475

0003","-73.80947

9897"
"1202WOO0605D"," ","C","42.56789","-74.18259"
"0703PEN0016"," ","C(T)","43.281818299999998","-76.265437000000006"
"0201SCI0090B"," ","B","42.011100800000001","-78.766197199999894"
"0403AND0164"," ","C",NA,NA
"1301SWA0030A"," ","B","41.106602","-73.835526"
"1301SWA0030A"," ","B","41.106371","-73.835034"
"0403AND0164"," ","C","42.165599800000003","-77.793602000000007"
"0602BAL5648"," ","C","42.54905","-75.7614"
"0602BAL5648"," ","C","42.5518989999998","-75.763000500000004"
"1301COX6780"," ","C","42.4076004","-73.877799999999894"
"1301UWB0420B"," ","B","41.737755","-73.898640999999998"
"0501MIL0016"," ","C","42.071399700000001","-76.792198200000001"
"0501MIL0016"," ","C","-76.792198200000001","42.071399700000001"
"0502BIR5140"," ","C","-77.150434000000004","42.371190300000002"
"0502BIR5140"," ","C","42.371190300000002","-77.150434000000004"
"0801WHE5670"," ","B(T)","43.683","-75.509202000000002"
"0501UWB5107"," ","C","42.114835999999997","-77.079718400000004"
"0501UWB5107"," ","C","-77.079718400000004","42.114835999999997"
"1306MIL0515"," ","B","41.439477400000001","-74.534561199999999"
"0201SCI0090B"," ","B","42.010480000000001","-78.766909699999999"
"1306BIN0735"," ","C","41.409708199999997","-74.551345100000006"
"0503ERW0023B"," ","C(T)","-77.171103000000002","42.157522499999999"
"0503ERW0023B"," ","C(T)","42.157522499999999","-77.171103000000002"
"0503UWB5183"," ","C","-77.208808000000005","42.087394099999997"
"0503UWB5183"," ","C","42.088166","-77.20787"
"0501LOW0021"," ","C","42.1459999","-76.911796600000002"
"0501LOW0021"," ","C","-76.911796600000002","42.1459999"
"1301PUD5194"," ","C","41.437238999999998","-73.782865999999999"
"1306MIL0515"," ","B","41.438899999999897","-74.535301200000006"
"0501UWB5107"," ","C","42.115299200000003","-77.080200199999894"
"1301PUD5194"," ","C","41.4429015999999","-73.789398199999894"
"0502BIR5140"," ","C","42.377998400000003","-77.152397199999896"
"0503ERW0023B"," ","C(T)","42.157699600000001","-77.171203599999899"
"0503UWB5183"," ","C","42.087501500000002","-77.209098800000007"
"1306BIN0735"," ","C","41.4103011","-74.551200899999898"
"1301UWB0420B"," ","B","41.7411995","-73.897399899999897"
"0801WHE5670"," ","B(T)","43.672100100000002","-75.508598300000003"
"1301COX6780"," ","C","42.405850000000001","-73.877690000000001"
"1301COX6780"," ","C","42.406658221599997","-73.877917276700003"
"1301BUR0386C","1301-0025","B","42.595607999999999","-73.567189999999997"
"1501UWB1006"," ","B","41.211709999999897","-74.199389999999894"
"1501UWB1006",NA,NA,"41.211709999999897","-74.199389999999894"
"1301SWA0030A"," ","B","41.111193999999998","-73.831759000000005"
"1301SWA0030A"," ","B","41.109600100000002","-73.833702099999897"
"1301SWA0030A"," ","B","41.106602000000002","-73.835526000000002"
"1301SWA0030A"," ","B","41.105556999999997","-73.836018999999993"
"1301SWA0030A"," ","B","41.106371000000003","-73.835033999999993"
"1702IND5821"," ","B","40.838340000000002","-73.894059999999996"
"0503ERW0023B"," ","C(T)",NA,NA
"1301COX6780"," ","C",NA,NA
