LAKE_ID,change
0102UWB5058,changed
0102UWB5058,changed
0902UWB5082,changed
0902UWB5082,changed
0703UWB5167,changed
0703UWB5167,changed
1301UWB0414,changed
1301UWB0145A,changed
1301UWB0155A,changed
1301UWB0157B,changed
1301UWB0179A,changed
1301UWB0182A,changed
1301UWB0185A,changed
1301UWB0185C,changed
1301UWB0185D,changed
1301UWB0205B,changed
1301UWB0206C,changed
1301UWB0410A,changed
1301UWB0414A,changed
1301UWB0442A,changed
1301UWB0442B,changed
1301UWB0445B,changed
1301UWB0145,changed
1301UWB0147,changed
1301UWB0148,changed
1301UWB0168,changed
1301UWB0170,changed
1301UWB0173,changed
1301UWB0221,changed
1301UWB0412,changed
1301UWB0414,changed
1301UWB0422,changed
1301UWB0423,changed
0603UWB5003,changed
0603UWB5003,changed
0603UWB5004,changed
0603UWB5004,changed
1702UWB5004,changed
1702UWB5004,changed
0603UWB5030,changed
0603UWB5030,changed
0603UWB5031,changed
0603UWB5031,changed
0603UWB5032,changed
0603UWB5032,changed
0603UWB5033,changed
0603UWB5033,changed
0603UWB5034,changed
0603UWB5034,changed
0603UWB5035,changed
0603UWB5035,changed
0603UWB5036,changed
0603UWB5036,changed
0603UWB5037,changed
0603UWB5037,changed
0603UWB5039,changed
0603UWB5039,changed
1701UWB5104,changed
1701UWB5104,changed
1701UWB5105,changed
1701UWB5105,changed
0902UWB5114,changed
0902UWB5114,changed
1701UWB5222,changed
1701UWB5222,changed
0403UWB5269,changed
0403UWB5269,changed
0403UWB5270,changed
0403UWB5270,changed
0404UWB5318,changed
1702UWB5330,changed
1702UWB5330,changed
1702UWB5331,changed
1702UWB5332,changed
1702UWB5332,changed
1702UWB5333,changed
1702UWB5333,changed
1702UWB5334,changed
1702UWB5334,changed
1702UWB5335,changed
1702UWB5335,changed
1702UWB5339,changed
1702UWB5339,changed
1702UWB5343,changed
1702UWB5343,changed
1702UWB5365,changed
1702UWB5365,changed
1702UWB5366,changed
1702UWB5366,changed
1702UWB5368,changed
1702UWB5368,changed
1702UWB5369,changed
1702UWB5369,changed
0302UWB5368,changed
1301UWB0174,changed
1301UWB0185F,changed
1301UWB0193B,changed
1301UWB0363,changed
1301UWB0363A,changed
1301UWB0416B,changed
1301UWB0435A,changed
1701UWB5102,changed
1701UWB5102,changed
1701UWB5103,changed
1701UWB5103,changed
1301UWB0145A,changed
1301UWB0155A,changed
1301UWB0157B,changed
1301UWB0179A,changed
1301UWB0182A,changed
1301UWB0185A,changed
1301UWB0185C,changed
1301UWB0185D,changed
1301UWB0205B,changed
1301UWB0206C,changed
1301UWB0345B,changed
1301UWB0410A,changed
1301UWB0414A,changed
1301UWB0442A,changed
1301UWB0442B,changed
1301UWB0445B,changed
1702UWB1103A,changed
1702UWB1103A,changed
1301UWB0185F,changed
1301UWB0193B,changed
1301UWB0363A,changed
1301UWB0416B,changed
1301UWB0435A,changed
1301UWB0345B,changed
