pH,temperature,trout,no_trout,,
6.5,0,0.7,0.7,,
6.75,0,1.2,1.2,,
7,0,2.1,2.1,,
7.25,0,3.7,3.7,,
7.5,0,6.6,6.6,,
7.75,0,11,11,,
8.0-9.0,0,13,13,,
6.5,5,0.9,0.9,,
6.75,5,1.7,1.7,,
7,5,2.9,2.9,,
7.25,5,5.2,5.2,,
7.5,5,9.3,9.3,,
7.75,5,15,15,,
8.0-9.0,5,18,18,,
6.5,10,1.3,1.3,,
6.75,10,2.3,2.3,,
7,10,4.2,4.2,,
7.25,10,7.4,7.4,,
7.5,10,13,13,,
7.75,10,22,22,,
8.0-9.0,10,25,25,,
6.5,15,1.9,1.9,,
6.75,15,3.3,3.3,,
7,15,5.9,5.9,,
7.25,15,11,11,,
7.5,15,19,19,,
7.75,15,31,31,,
8.0-9.0,15,35,35,,
6.5,20,1.9,2.6,,
6.75,20,3.3,4.7,,
7,20,5.9,8.3,,
7.25,20,11,15,,
7.5,20,19,26,,
7.75,20,31,43,,
8.0-9.0,20,35,50,,
